TimeNav,Azimuth,GaragNumb,Graph,Latitude,Longitude,Marsh,Speed,TimeNav,dist,dist_delta
2020-11-08 13:01:00,170,2775,1,55.81953000000001,49.096583,22,13,2020-11-08 13:01:00,0.035745802830545376,0.0
2020-11-08 13:02:00,156,2775,1,55.816875,49.09845,22,14,2020-11-08 13:02:00,0.03261054679087976,0.003135256039665614
2020-11-08 13:02:00,156,2775,1,55.816875,49.09845,22,14,2020-11-08 13:02:00,0.03261054679087976,0.0
2020-11-08 13:03:00,159,2775,1,55.816123,49.099077,22,11,2020-11-08 13:03:00,0.03165000987361386,0.0009605369172659001
2020-11-08 13:03:00,159,2775,1,55.816123,49.099077,22,11,2020-11-08 13:03:00,0.03165000987361386,0.0
2020-11-08 13:04:00,155,2775,1,55.812777000000004,49.101588,22,15,2020-11-08 13:04:00,0.027615130816278293,0.0040348790573355685
2020-11-08 13:04:00,155,2775,1,55.812777000000004,49.101588,22,15,2020-11-08 13:04:00,0.027615130816278293,0.0
2020-11-08 13:05:00,184,2775,1,55.806633,49.102042,22,49,2020-11-08 13:05:00,0.02403497805283105,0.0035801527634472426
2020-11-08 13:05:00,184,2775,1,55.806633,49.102042,22,49,2020-11-08 13:05:00,0.02403497805283105,0.0
2020-11-08 13:06:00,229,2775,1,55.800380000000004,49.100988,22,37,2020-11-08 13:06:00,0.023110319448245847,0.0009246586045852032
2020-11-08 13:06:00,229,2775,1,55.800380000000004,49.100988,22,37,2020-11-08 13:06:00,0.023110319448245847,0.0
2020-11-08 13:07:00,100,2775,1,55.79821999999999,49.096672999999996,22,22,2020-11-08 13:07:00,0.027127744100831252,0.0040174246525854045
2020-11-08 13:07:00,100,2775,1,55.79821999999999,49.096672999999996,22,22,2020-11-08 13:07:00,0.027127744100831252,0.0
2020-11-08 13:08:00,66,2775,1,55.801793,49.104337,22,46,2020-11-08 13:08:00,0.020163445266124232,0.0069642988347070195
2020-11-08 13:08:00,66,2775,1,55.801793,49.104337,22,46,2020-11-08 13:08:00,0.020163445266124232,0.0
2020-11-08 13:09:00,179,2775,1,55.79893199999999,49.109278,22,30,2020-11-08 13:09:00,0.01469501769307739,0.005468427573046842
2020-11-08 13:09:00,179,2775,1,55.79893199999999,49.109278,22,30,2020-11-08 13:09:00,0.01469501769307739,0.0
2020-11-08 13:10:00,98,2775,1,55.797355,49.112275,22,22,2020-11-08 13:10:00,0.011506701395276937,0.0031883162978004528
2020-11-08 13:10:00,98,2775,1,55.797355,49.112275,22,22,2020-11-08 13:10:00,0.011506701395276937,0.0
2020-11-08 13:11:00,97,2775,1,55.797252,49.113640000000004,22,0,2020-11-08 13:11:00,0.010138089415659865,0.001368611979617072
2020-11-08 13:11:00,97,2775,1,55.797252,49.113640000000004,22,0,2020-11-08 13:11:00,0.010138089415659865,0.0
2020-11-08 13:12:00,99,2775,1,55.796815,49.118032,22,22,2020-11-08 13:12:00,0.005724432024227601,0.004413657391432265
2020-11-08 13:12:00,99,2775,1,55.796815,49.118032,22,22,2020-11-08 13:12:00,0.005724432024227601,0.0
2020-11-08 13:13:00,99,2775,1,55.796333,49.12316,22,11,2020-11-08 13:13:00,0.0005738379562216745,0.005150594068005926
2020-11-08 13:13:00,99,2775,1,55.796333,49.12316,22,11,2020-11-08 13:13:00,0.0005738379562216745,0.0
2020-11-08 13:14:00,97,2775,1,55.796165,49.125063,22,8,2020-11-08 13:14:00,0.001336616998243582,0.0007627790420219075
2020-11-08 13:14:00,97,2775,1,55.796165,49.125063,22,8,2020-11-08 13:14:00,0.001336616998243582,0.0
2020-11-08 13:15:00,98,2775,1,55.795828,49.128537,22,26,2020-11-08 13:15:00,0.0048268354022090775,0.0034902184039654954
2020-11-08 13:15:00,98,2775,1,55.795828,49.128537,22,26,2020-11-08 13:15:00,0.0048268354022090775,0.0
2020-11-08 13:16:00,101,2775,1,55.795462,49.132532,22,6,2020-11-08 13:16:00,0.008838563061944346,0.004011727659735269
2020-11-08 13:16:00,101,2775,1,55.795462,49.132532,22,6,2020-11-08 13:16:00,0.008838563061944346,0.0
2020-11-08 13:17:00,99,2775,1,55.79514200000001,49.136203,22,24,2020-11-08 13:17:00,0.01252344760838766,0.0036848845464433136
2020-11-08 13:17:00,99,2775,1,55.79514200000001,49.136203,22,24,2020-11-08 13:17:00,0.01252344760838766,0.0
